design,outcome,factor,metric,point,lo95,median,hi95,replications_design,replications_benchmark,point_splits,bootstrap_draws,splits_per_bootstrap,denominator
CS-30,mean_total_shift,inoculation,q,6.897832279429803e-05,6.587777189228916e-05,6.89244541637992e-05,7.184168972372196e-05,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-30,mean_total_shift,inoculation,rho,0.2702259030823549,0.2561762012999152,0.2700742831281606,0.28378683826632733,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-30,mean_total_shift,inoculation,tau,0.1132822199393342,0.11316580330926082,0.11328124882558377,0.11340011126266977,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-30,mean_total_shift,seeding_regime,B_total,0.0003807231262917,0.00038030720248952664,0.0003807267985773958,0.00038113472051155893,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-30,mean_total_shift,seeding_regime,B_factor,0.0002199739086702,0.0002196830144751548,0.00021997602867893416,0.00022026485659542677,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-30,mean_total_shift,seeding_regime,q,0.0654521119996466,0.06537737397180311,0.06545339634266834,0.06553479468871706,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-30,mean_total_shift,seeding_regime,rho,0.0750804570829399,0.07499437009447033,0.07508155982242343,0.07517370961076661,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-30,mean_total_shift,seeding_regime,tau,0.1132822199393342,0.11316580330926082,0.11328124882558377,0.11340011126266977,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-45,mean_total_shift,topology,B_total,0.0006926849113463,0.0006920710238126081,0.000692689050403747,0.0006932824716306662,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-45,mean_total_shift,topology,B_factor,3.51855575697178e-07,3.383145393745903e-07,3.51970499992067e-07,3.646957472002486e-07,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-45,mean_total_shift,topology,q,0.0001046928278332,0.00010068583478864463,0.00010472575378241136,0.00010851899576184553,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-45,mean_total_shift,topology,rho,0.2920967698708921,0.2801635561528671,0.29254559601282215,0.3060739563057041,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-45,mean_total_shift,topology,tau,0.2061048543073612,0.2059301782381617,0.20610246143877198,0.20627821626143725,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-45,mean_total_shift,message_condition,B_total,0.0006926849113463,0.0006920710238126081,0.000692689050403747,0.0006932824716306662,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-45,mean_total_shift,message_condition,B_factor,0.0001640588612341,0.00016384625727819995,0.0001640577792834738,0.0001642814159233058,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
